"","bamfile","mean_depth","proportion_of_reference_covered","pop"
"141","GASO_05_EKDL210004788-1a-AK10139-AK9682_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",54.8693445830276,1,"GASO"
"142","GASO_06_EKDL210004790-1a-AK11631-AK349_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",56.5042186353632,0.999755441428222,"GASO"
"143","GASO_07_EKDL210009122-1a-AK18632-AK31226_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",44.1311445341159,0.999694301785278,"GASO"
"144","GASO_08_EKDL210004789-1a-AK12637-AK16268_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",41.0262289068232,1,"GASO"
"145","GASO_10_EKDL210009122-1a-AK31220-AK31221_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",36.6050379065786,0.999694301785278,"GASO"
"146","GASO_11_EKDL210009122-1a-AK19244-AK31215_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",31.9099413059428,0.999633162142333,"GASO"
"147","GASO_12_EKDL210004790-1a-AK11630-AK16248_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",39.1878821227684,0.999572022499389,"GASO"
"148","GASO_13_EKDL210004788-1a-AK11600-AK6934_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",23.7526901442896,1,"GASO"
"149","GASO_14_EKDL210009122-1a-AK31210-AK31211_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",12.5295915871851,1,"GASO"
"150","GASO_15_EKDL210005548-1a-AK11398-AK16264_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",90.5221325507459,0.999877720714111,"GASO"
"151","GASO_16_EKDL210004788-1a-AK4251-AK16229_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",29.6224627048178,1,"GASO"
"152","GASO_17_EKDL210005548-1a-AK11582-AK8205_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",26.8510638297872,1,"GASO"
"153","GASO_18_EKDL210009122-1a-AK18628-AK31201_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",24.4976766935681,1,"GASO"
"154","GASO_19_EKDL210009122-1a-AK19282-AK15919_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",19.7407679139154,1,"GASO"
"155","GREV_01_EKDL210007863-1a-AK19130-AK23745_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",22.1276595744681,0.999510882856444,"GREV"
"156","GREV_02_EKDL210007863-1a-AK19011-AK22952_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",11.8613352898019,0.9994497432135,"GREV"
"157","GREV_03_EKDL210004788-1a-AK11631-AK349_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",30.8235509904622,0.999633162142333,"GREV"
"158","GREV_04_EKDL210004790-1a-AK11598-AK16273_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",19.2432746392761,0.999510882856444,"GREV"
"159","GREV_05_EKDL200012859-1a-AK11476-AK16258_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",21.579298116899,0.999572022499389,"GREV"
"160","GREV_06_EKDL210005548-1a-AK11640-AK16265_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",32.2337368549768,0.999572022499389,"GREV"
"161","GREV_08_EKDL210005548-1a-AK11186-AK1268_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",18.0217657128882,0.999510882856444,"GREV"
"162","GREV_09_EKDL210004790-1a-AK11659-AK16242_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",36.8497798972854,0.999755441428222,"GREV"
"163","GREV_10_EKDL210007863-1a-AK18650-AK23751_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",28.1098679383712,1,"GREV"
"164","GREV_11_EKDL200012859-1a-AK11490-AK14430_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",28.520909757887,0.999694301785278,"GREV"
"165","GREV_12_EKDL200012859-1a-AK11158-AK16267_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",23.2282342871118,0.999510882856444,"GREV"
"166","GREV_13_EKDL210005548-1a-AK11195-AK16227_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",20.2545854732208,0.999633162142333,"GREV"
"167","GREV_14_EKDL210007863-1a-AK19099-AK34207_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",10.0658473954512,0.999388603570555,"GREV"
"168","GREV_15_EKDL210004790-1a-AK12626-AK16295_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",23.1143311323062,0.9994497432135,"GREV"
"169","GREV_16_EKDL210004788-1a-AK11661-AK16241_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",19.7030447542186,0.999327463927611,"GREV"
