"","x"
"107","CRES_02_EKDL210004789-1a-AK11698-AK16226_HHJYYDSX2_L2"
"108","CRES_03_EKDL210004790-1a-AK11524-AK16276_HHJYYDSX2_L3"
"109","CRES_05_EKDL210004790-1a-AK8204-AK9482_HHJYYDSX2_L3"
"110","CRES_06_EKDL200012859-1a-AK11520-AK16285_HNLVYDSXY_L1"
"111","CRES_07_EKDL210004789-1a-AK12629-AK16244_HHJYYDSX2_L2"
"112","CRES_08_EKDL210004789-1a-AK11178-AK16246_HHJYYDSX2_L2"
"113","CRES_10_EKDL210004790-1a-AK11178-AK16246_HHJYYDSX2_L3"
"114","CRES_11_EKDL210005548-1a-AK11572-AK16283_HHJKNDSX2_L4"
"115","CRES_12_EKDL210009123-1a-AK19017-AK23748_HTVH3DSX2_L3"
"116","CRES_13_EKDL210004790-1a-AK11398-AK16264_HHJYYDSX2_L3"
"117","CRES_14_EKDL210004788-1a-AK7415-AK16289_HHJYYDSX2_L1"
"118","CRES_15_EKDL210004788-1a-AK11674-AK2690_HHJYYDSX2_L1"
"119","CRES_16_EKDL210004790-1a-AK11506-AK16290_HHJYYDSX2_L3"
"120","CRES_17_EKDL200012859-1a-AK11600-AK6934_HNLVYDSXY_L1"
"121","CRES_18_EKDL210009123-1a-AK23749-AK23750_HTVH3DSX2_L3"
"122","CRES_19_EKDL210004788-1a-AK11467-AK14066_HHJYYDSX2_L1"
"123","CRES_20_EKDL200012859-1a-AK11377-AK16262_HNLVYDSXY_L1"
"124","DOLV_01_EKDL210009122-1a-AK19014-AK31232_HTVH3DSX2_L3"
"125","DOLV_02_EKDL210009122-1a-AK31218-AK31219_HTVH3DSX2_L3"
"126","DOLV_03_EKDL210009122-1a-AK31208-AK31209_HTVH3DSX2_L3"
"127","DOLV_04_EKDL210009122-1a-AK31199-AK31200_HTVH3DSX2_L3"
"128","DOLV_05_EKDL210009122-1a-AK31182-AK31183_HTVH3DSX2_L3"
"129","DOLV_06_EKDL210009122-1a-AK27196-AK31175_HTVH3DSX2_L3"
"130","DOLV_07_EKDL210009122-1a-AK18627-AK31161_HTVH3DSX2_L3"
"131","DOLV_08_EKDL210009122-1a-AK31151-AK31152_HTVH3DSX2_L3"
"132","DOLV_09_EKDL210009122-1a-AK19293-AK31140_HTVH3DSX2_L3"
"133","DOLV_10_EKDL210009122-1a-AK31129-AK31130_HTVH3DSX2_L3"
"134","DOLV_11_EKDL210009122-1a-AK31119-AK31120_HTVH3DSX2_L3"
"135","DOLV_12_EKDL210009122-1a-AK18639-AK31107_HTVH3DSX2_L3"
"136","DOLV_13_EKDL210009122-1a-AK31230-AK31231_HTVH3DSX2_L3"
"137","DOLV_14_EKDL210009122-1a-AK19073-AK31217_HTVH3DSX2_L3"
"138","DOLV_15_EKDL210009122-1a-AK19284-AK31207_HTVH3DSX2_L3"
"139","DOLV_16_EKDL210009122-1a-AK19237-AK22949_HTVH3DSX2_L3"
"140","DOLV_17_EKDL210009122-1a-AK19205-AK31181_HTVH3DSX2_L3"
"141","DOLV_18_EKDL210009122-1a-AK31173-AK31174_HTVH3DSX2_L3"
"142","DOLV_19_EKDL210009122-1a-AK18985-AK31160_HTVH3DSX2_L3"
"143","DOLV_20_EKDL210009122-1a-AK19079-AK31150_HTVH3DSX2_L3"
"144","FURI_01_EKDL210007862-1a-AK19254-AK19667_HLNT5DSX2_L2"
"145","FURI_02_EKDL210004789-1a-AK11520-AK16285_HHJYYDSX2_L2"
"146","FURI_03_EKDL210004789-1a-AK11528-AK14283_HHJYYDSX2_L2"
"147","FURI_04_EKDL210007862-1a-AK16171-AK16172_HLNT5DSX2_L2"
"148","FURI_05_EKDL210007862-1a-AK16187-AK16188_HLNT5DSX2_L2"
"149","FURI_06_EKDL210004789-1a-AK11160-AK9453_HHJYYDSX2_L2"
"150","FURI_07_EKDL210004788-1a-AK11710-AK16288_HHJYYDSX2_L1"
"151","FURI_08_EKDL210004788-1a-AK11375-AK16261_HHJYYDSX2_L1"
"152","FURI_09_EKDL200012859-1a-AK11656-AK574_HNLVYDSXY_L1"
"153","FURI_10_EKDL210007862-1a-AK16203-AK16204_HLNT5DSX2_L2"
"154","FURI_11_EKDL210004789-1a-AK11485-AK16252_HHJYYDSX2_L2"
"155","FURI_13_EKDL200012859-1a-AK11677-AK5989_HNLVYDSXY_L1"
"156","GASO_01_EKDL200012859-1a-AK11710-AK16288_HNLVYDSXY_L1"
"157","GASO_02_EKDL210004789-1a-AK11692-AK16230_HHJYYDSX2_L2"
"158","GASO_03_EKDL210004790-1a-AK11519-AK16232_HHJYYDSX2_L3"
"159","GASO_04_EKDL210004789-1a-AK7016-AK16255_HHJYYDSX2_L2"
"160","GASO_05_EKDL210004788-1a-AK10139-AK9682_HHJYYDSX2_L1"
"161","GASO_06_EKDL210004790-1a-AK11631-AK349_HHJYYDSX2_L3"
"162","GASO_07_EKDL210009122-1a-AK18632-AK31226_HTVH3DSX2_L3"
"163","GASO_08_EKDL210004789-1a-AK12637-AK16268_HHJYYDSX2_L2"
"164","GASO_09_EKDL210004790-1a-AK11683-AK16236_HHJYYDSX2_L3"
"165","GASO_10_EKDL210009122-1a-AK31220-AK31221_HTVH3DSX2_L3"
"166","GASO_11_EKDL210009122-1a-AK19244-AK31215_HTVH3DSX2_L3"
"167","GASO_12_EKDL210004790-1a-AK11630-AK16248_HHJYYDSX2_L3"
"168","GASO_13_EKDL210004788-1a-AK11600-AK6934_HHJYYDSX2_L1"
"169","GASO_14_EKDL210009122-1a-AK31210-AK31211_HTVH3DSX2_L3"
"170","GASO_15_EKDL210005548-1a-AK11398-AK16264_HHJKNDSX2_L4"
"171","GASO_16_EKDL210004788-1a-AK4251-AK16229_HHJYYDSX2_L1"
"172","GASO_17_EKDL210005548-1a-AK11582-AK8205_HHJKNDSX2_L4"
"173","GASO_18_EKDL210009122-1a-AK18628-AK31201_HTVH3DSX2_L3"
"174","GASO_19_EKDL210009122-1a-AK19282-AK15919_HTVH3DSX2_L3"
"175","GASO_20_EKDL210009122-1a-AK31176-AK31177_HTVH3DSX2_L3"
"176","GREV_01_EKDL210007863-1a-AK19130-AK23745_HLNT5DSX2_L2"
"177","GREV_02_EKDL210007863-1a-AK19011-AK22952_HLNT5DSX2_L2"
"178","GREV_03_EKDL210004788-1a-AK11631-AK349_HHJYYDSX2_L1"
"179","GREV_04_EKDL210004790-1a-AK11598-AK16273_HHJYYDSX2_L3"
"180","GREV_06_EKDL210005548-1a-AK11640-AK16265_HHJKNDSX2_L4"
"181","GREV_07_EKDL200012859-1a-AK11381-AK16293_HNLVYDSXY_L1"
"182","GREV_08_EKDL210005548-1a-AK11186-AK1268_HHJKNDSX2_L4"
"183","GREV_09_EKDL210004790-1a-AK11659-AK16242_HHJYYDSX2_L3"
"184","GREV_10_EKDL210007863-1a-AK18650-AK23751_HLNT5DSX2_L2"
"185","GREV_11_EKDL200012859-1a-AK11490-AK14430_HNLVYDSXY_L1"
"186","GREV_12_EKDL200012859-1a-AK11158-AK16267_HNLVYDSXY_L1"
"187","GREV_13_EKDL210005548-1a-AK11195-AK16227_HHJKNDSX2_L4"
"188","GREV_14_EKDL210007863-1a-AK19099-AK34207_HLNT5DSX2_L2"
"189","GREV_15_EKDL210004790-1a-AK12626-AK16295_HHJYYDSX2_L3"
"190","GREV_16_EKDL210004788-1a-AK11661-AK16241_HHJYYDSX2_L1"
"191","GREV_17_EKDL210005548-1a-AK11490-AK14430_HHJKNDSX2_L4"
"192","HAFR_01_EKDL200012859-1a-AK11714-AK16250_HNLVYDSXY_L1"
"193","HAFR_02_EKDL210007863-1a-AK19152-AK23701_HLNT5DSX2_L2"
"194","HAFR_03_EKDL210007863-1a-AK19092-AK23692_HLNT5DSX2_L2"
"195","HAFR_04_EKDL210004790-1a-AK11436-AK16240_HHJYYDSX2_L3"
"196","HAFR_05_EKDL210007863-1a-AK19109-AK31194_HLNT5DSX2_L2"
"197","HAFR_06_EKDL210007863-1a-AK18986-AK34202_HLNT5DSX2_L2"
"198","HAFR_07_EKDL210004790-1a-AK11375-AK16261_HHJYYDSX2_L3"
"199","HAFR_08_EKDL210004789-1a-AK11675-AK16223_HHJYYDSX2_L2"
"200","HAFR_09_EKDL210007863-1a-AK19003-AK23702_HLNT5DSX2_L2"
"201","HAFR_10_EKDL210004789-1a-AK11683-AK16236_HHJYYDSX2_L2"
"202","HAFR_11_EKDL210004790-1a-AK11718-AK16243_HHJYYDSX2_L3"
"203","HAFR_13_EKDL210007863-1a-AK19133-AK18842_HLNT5DSX2_L2"
"204","HAFR_14_EKDL210004790-1a-AK11495-AK16238_HHJYYDSX2_L3"
"205","HAFR_15_EKDL210004789-1a-AK11526-AK16296_HHJYYDSX2_L2"
"206","HAFR_16_EKDL210007863-1a-AK23704-AK22953_HLNT5DSX2_L2"
"207","HAFR_17_EKDL210004788-1a-AK11428-AK16253_HHJYYDSX2_L1"
"208","HAFR_18_EKDL210007863-1a-AK23705-AK23706_HLNT5DSX2_L2"
"209","HAFR_19_EKDL200012859-1a-AK11398-AK16264_HNLVYDSXY_L1"
"210","HAFR_23_EKDL200012859-1a-AK11416-AK16269_HNLVYDSXY_L1"
"211","HAFR_25_EKDL200012859-1a-AK11375-AK16261_HNLVYDSXY_L1"
"212","HAFR_99_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1"
"213","HALS_01_EKDL210007862-1a-AK19200-AK18813_HLNT5DSX2_L2"
"214","HALS_02_EKDL210007862-1a-AK19206-AK18829_HLNT5DSX2_L2"
"215","HALS_03_EKDL210007862-1a-AK19184-AK18843_HLNT5DSX2_L2"
"216","HALS_04_EKDL210007862-1a-AK19191-AK18808_HLNT5DSX2_L2"
"217","HALS_05_EKDL210007862-1a-AK16179-AK16180_HLNT5DSX2_L2"
"218","HALS_06_EKDL210007862-1a-AK16195-AK16196_HLNT5DSX2_L2"
"219","HALS_07_EKDL210007862-1a-AK16211-AK16212_HLNT5DSX2_L2"
"220","HALS_08_EKDL210007862-1a-AK19027-AK19676_HLNT5DSX2_L2"
"221","HALS_09_EKDL210007862-1a-AK19257-AK19684_HLNT5DSX2_L2"
"222","HALS_10_EKDL210007862-1a-AK19278-AK19691_HLNT5DSX2_L2"
"223","HALS_13_EKDL210007862-1a-AK19223-AK19696_HLNT5DSX2_L2"
"224","HALS_14_EKDL210007862-1a-AK19088-AK19704_HLNT5DSX2_L2"
"225","HALS_15_EKDL210007862-1a-AK19102-AK18815_HLNT5DSX2_L2"
"226","HAUG_01_EKDL210004790-1a-AK11615-AK16297_HHJYYDSX2_L3"
"227","HAUG_02_EKDL200012859-1a-AK11433-AK13293_HNLVYDSXY_L1"
"228","HAUG_03_EKDL210004789-1a-AK11398-AK16264_HHJYYDSX2_L2"
"229","HAUG_04_EKDL210009123-1a-AK27190-AK34205_HTVH3DSX2_L3"
"230","HAUG_05_EKDL200012859-1a-AK11692-AK16230_HNLVYDSXY_L1"
"231","HAUG_06_EKDL210004788-1a-AK11485-AK16252_HHJYYDSX2_L1"
"232","HAUG_07_EKDL210004788-1a-AK11158-AK16267_HHJYYDSX2_L1"
"233","HAUG_08_EKDL210004789-1a-AK12626-AK16295_HHJYYDSX2_L2"
"234","HAUG_09_EKDL200012859-1a-AK11186-AK1268_HNLVYDSXY_L1"
"235","HAUG_10_EKDL210009123-1a-AK19072-AK23726_HTVH3DSX2_L3"
"236","HAUG_11_EKDL210004788-1a-AK11384-AK16224_HHJYYDSX2_L1"
"237","HAUG_12_EKDL210004789-1a-AK11473-AK16281_HHJYYDSX2_L2"
"238","HAUG_13_EKDL210004789-1a-AK11208-AK16233_HHJYYDSX2_L2"
"239","HAUG_14_EKDL210004788-1a-AK11506-AK16290_HHJYYDSX2_L1"
"240","HAUG_15_2_EKDL210007863-1a-AK19063-AK34200_HLNT5DSX2_L2"
"241","HAUG_15_a_2_EKDL210007863-1a-AK19135-AK34203_HLNT5DSX2_L2"
"242","HAUG_15_a_batch1_EKDL210004788-1a-AK11615-AK16297_HHJYYDSX2_L1"
"243","HAUG_15_a_batch2_EKDL210004789-1a-AK7685-AK16294_HHJYYDSX2_L2"
"244","HAUG_15_a_batch3_EKDL210004790-1a-AK11401-AK7949_HHJYYDSX2_L3"
"245","HAUG_15_a_EKDL200012859-1a-AK11526-AK16296_HNLVYDSXY_L1"
"246","HAUG_15_a_EKDL210005548-1a-AK11659-AK16242_HHJKNDSX2_L4"
"247","HAUG_15_a_EKDL210007862-1a-AK19232-AK19706_HLNT5DSX2_L2"
"248","HAUG_15a_EKDL210009123-1a-AK19135-AK34203_HTVH3DSX2_L3"
"249","HAUG_15_batch1_EKDL210004788-1a-AK11653-AK16291_HHJYYDSX2_L1"
"250","HAUG_15_batch2_EKDL210004789-1a-AK11710-AK16288_HHJYYDSX2_L2"
"251","HAUG_15_batch3_EKDL210004790-1a-AK11440-AK16251_HHJYYDSX2_L3"
"252","HAUG_15b_EKDL210009122-1a-AK31205-AK31206_HTVH3DSX2_L3"
"253","HAUG_15c_EKDL210009122-1a-AK34066-AK34067_HTVH3DSX2_L3"
"254","HAUG_15_EKDL200012859-1a-AK11653-AK16291_HNLVYDSXY_L1"
"255","HAUG_15_EKDL210005548-1a-AK11683-AK16236_HHJKNDSX2_L4"
"256","HAUG_15_EKDL210007862-1a-AK19250-AK19698_HLNT5DSX2_L2"
"257","HAUG_15_EKDL210009123-1a-AK19063-AK34200_HTVH3DSX2_L3"
"258","HAUG_16_EKDL210004789-1a-AK11512-AK16284_HHJYYDSX2_L2"
"259","HAUG_17_EKDL200012859-1a-AK11387-AK16228_HNLVYDSXY_L1"
"260","HAUG_18_EKDL210005548-1a-AK11471-AK16271_HHJKNDSX2_L4"
"261","HAUG_19_EKDL210009123-1a-AK18989-AK33821_HTVH3DSX2_L3"
"262","HAUG_20_EKDL210009123-1a-AK19103-AK23729_HTVH3DSX2_L3"
"263","HAUG_21_EKDL200012859-1a-AK11486-AK16237_HNLVYDSXY_L1"
"264","HAUG_24_EKDL210009123-1a-AK19147-AK23730_HTVH3DSX2_L3"
"265","HAVS_05_2_EKDL210007863-1a-AK27187-AK31195_HLNT5DSX2_L2"
"266","HAVS_05_a2_EKDL210007863-1a-AK19121-AK23778_HLNT5DSX2_L2"
"267","HAVS_05_a_batch1_EKDL210004788-1a-AK11598-AK16273_HHJYYDSX2_L1"
"268","HAVS_05_a_batch2_EKDL210004789-1a-AK11615-AK16297_HHJYYDSX2_L2"
"269","HAVS_05_a_batch3_EKDL210004790-1a-AK7415-AK16289_HHJYYDSX2_L3"
"270","HAVS_05_a_EKDL210005548-1a-AK11600-AK6934_HHJKNDSX2_L4"
"271","HAVS_05_a_EKDL210007862-1a-AK19190-AK19685_HLNT5DSX2_L2"
"272","HAVS_05_batch1_EKDL210004788-1a-AK12637-AK16268_HHJYYDSX2_L1"
"273","HAVS_05_batch2_EKDL210004789-1a-AK11653-AK16291_HHJYYDSX2_L2"
"274","HAVS_05_EKDL200012859-1a-AK11379-AK16266_HNLVYDSXY_L1"
"275","HAVS_05_EKDL210004790-1a-AK11520-AK16285_HHJYYDSX2_L3"
"276","HAVS_05_EKDL210005548-1a-AK11702-AK16286_HHJKNDSX2_L4"
"277","HAVS_05_EKDL210007862-1a-AK19195-AK19693_HLNT5DSX2_L2"
"278","HAVS_06_EKDL210004790-1a-AK7016-AK16255_HHJYYDSX2_L3"
"279","HAVS_07_EKDL210004790-1a-AK11200-AK15590_HHJYYDSX2_L3"
"280","HAVS_08_EKDL210004789-1a-AK11384-AK16224_HHJYYDSX2_L2"
"281","HAVS_09_EKDL210005548-1a-AK11675-AK16223_HHJKNDSX2_L4"
"282","HAVS_11_EKDL210004788-1a-AK11426-AK5939_HHJYYDSX2_L1"
"283","HAVS_12_EKDL210004790-1a-AK11164-AK16239_HHJYYDSX2_L3"
"284","HAVS_14_EKDL210004790-1a-AK11486-AK16237_HHJYYDSX2_L3"
"285","HAVS_15_EKDL210004789-1a-AK11640-AK16265_HHJYYDSX2_L2"
"286","HAVS_16_EKDL210004790-1a-AK11473-AK16281_HHJYYDSX2_L3"
"287","HAVS_17_EKDL210005548-1a-AK11160-AK9453_HHJKNDSX2_L4"
"288","HAVS_19_EKDL210004788-1a-AK11659-AK16242_HHJYYDSX2_L1"
"289","HAVS_20_EKDL210004790-1a-AK11384-AK16224_HHJYYDSX2_L3"
"290","HAVS_21_EKDL210005548-1a-AK11377-AK16262_HHJKNDSX2_L4"
"291","HAVS_22_EKDL210004788-1a-AK11520-AK16285_HHJYYDSX2_L1"
"292","HAVS_23_EKDL210004789-1a-AK11674-AK2690_HHJYYDSX2_L2"
"293","HAVS_24_EKDL210004788-1a-AK11512-AK16284_HHJYYDSX2_L1"
"294","HAVS_25_EKDL210004789-1a-AK11702-AK16286_HHJYYDSX2_L2"
"295","Havs_01_EKDL210004790-1a-AK11526-AK16296_HHJYYDSX2_L3"
"296","Havs_02_EKDL210005548-1a-AK4251-AK16229_HHJKNDSX2_L4"
"297","Havs_03_EKDL210005548-1a-AK12626-AK16295_HHJKNDSX2_L4"
"298","Havs_04_EKDL210004790-1a-AK11186-AK1268_HHJYYDSX2_L3"
"299","Havs_05_batch3_EKDL210004790-1a-AK11195-AK16227_HHJYYDSX2_L3"
"300","Havs_06_EKDL210004790-1a-AK11528-AK14283_HHJYYDSX2_L3"
"301","Havs_07_EKDL210005548-1a-AK11520-AK16285_HHJKNDSX2_L4"
"302","Havs_08_EKDL210009123-1a-AK19015-AK23761_HTVH3DSX2_L3"
"303","Havs_09_EKDL210004789-1a-AK11667-AK16287_HHJYYDSX2_L2"
"304","Havs_10_EKDL210009123-1a-AK18652-AK23762_HTVH3DSX2_L3"
"305","Havs_11_EKDL210009123-1a-AK19087-AK23763_HTVH3DSX2_L3"
"306","Havs_12_EKDL210009123-1a-AK19059-AK23764_HTVH3DSX2_L3"
"307","Havs_13_EKDL210004789-1a-AK11497-AK9485_HHJYYDSX2_L2"
"308","Havs_13_EKDL210009123-1a-AK19150-AK23765_HTVH3DSX2_L3"
"309","Havs_14_EKDL210009123-1a-AK23766-AK23767_HTVH3DSX2_L3"
"310","Havs_15_EKDL210004790-1a-AK11171-AK16279_HHJYYDSX2_L3"
"311","HFJO_01_EKDL200012859-1a-AK11471-AK16271_HNLVYDSXY_L1"
"312","HFJO_02_EKDL210009123-1a-AK27209-AK34210_HTVH3DSX2_L3"
