"bamfile"	"mean_depth"	"proportion_of_reference_covered"	"pop"
"16"	"AGAB_99_EKDL200012859-1a-AK11506-AK16290_HNLVYDSXY_L1"	0.777614017985413	0.469092935741488	"AGAB"
"17"	"BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4"	1.5513347876979	0.676198358923456	"BARR"
"18"	"BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2"	1.48791758265842	0.66248067608041	"BARR"
"19"	"BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1"	0.971039184035551	0.539028874854766	"BARR"
"20"	"BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3"	1.02826632742781	0.541241762988568	"BARR"
"21"	"BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4"	1.77775167757003	0.707799301630443	"BARR"
"22"	"BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1"	1.42674521291051	0.647271506262253	"BARR"
"23"	"BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4"	1.94876534420215	0.731595846055553	"BARR"
"24"	"BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3"	1.13320763791856	0.556251575688708	"BARR"
"25"	"BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2"	0.836129572437543	0.487811719895006	"BARR"
"26"	"BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2"	1.92055137244754	0.718430172062745	"BARR"
"27"	"BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1"	1.2409289886235	0.612813118522771	"BARR"
"28"	"BARR_13_EKDL200012859-1a-AK7415-AK16289_HNLVYDSXY_L1"	1.34553902667673	0.637742949713082	"BARR"
"29"	"BARR_14_EKDL200012859-1a-AK11667-AK16287_HNLVYDSXY_L1"	0.967996966888122	0.53283026265455	"BARR"
"30"	"BARR_15_EKDL200012859-1a-AK11171-AK16279_HNLVYDSXY_L1"	0.722635580184325	0.451152502433537	"BARR"
"31"	"BOVA_01_EKDL200012859-1a-AK11177-AK16280_HNLVYDSXY_L1"	1.29758157031071	0.616255975150204	"BOVA"
"32"	"BOVA_04_EKDL210004790-1a-AK11608-AK2002_HHJYYDSX2_L3"	1.48713200981791	0.662741066453003	"BOVA"
"33"	"BOVA_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2"	1.12447280852547	0.579152228014058	"BOVA"
"34"	"BOVA_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2"	1.52263411037966	0.662358029201189	"BOVA"
"35"	"BOVA_07_EKDL210005548-1a-AK7685-AK16294_HHJKNDSX2_L4"	1.56296820080488	0.673714711837772	"BOVA"
"36"	"BOVA_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2"	1.49816530629095	0.656480037666344	"BOVA"
"37"	"BOVA_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1"	2.25872632458261	0.753723375527546	"BOVA"
"38"	"BOVA_13_EKDL200012859-1a-AK11246-AK16274_HNLVYDSXY_L1"	1.18236126729314	0.591830526337183	"BOVA"
"39"	"BOVA_14_EKDL210004788-1a-AK11387-AK16228_HHJYYDSX2_L1"	1.39118392042929	0.636908651426136	"BOVA"
